Gravedad_Indicador_Tradicional,Dia_Semana_Acc,Localidad,Clase_Acc,Elemento_Choque,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
Solo Daños,martes,FONTIBÓN,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Con Heridos,miércoles,BARRIOS UNIDOS,Choque,Vehículo,SI,,,,,,,,,,,,,,,,,,,,,
Solo Daños,miércoles,TEUSAQUILLO,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Con Heridos,sábado,LOS MÁRTIRES,Atropello,,,,,,,,SI,,,SI,,,,,,,,,,,,SI
Solo Daños,domingo,SUBA,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,miércoles,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,SI,SI,,SI,,,SI,,,,,,SI
Solo Daños,miércoles,SANTA FE,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,domingo,USAQUÉN,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,viernes,FONTIBÓN,Choque,Vehículo,,SI,,,,,,SI,,,,,,,,,,,,,,
Con Heridos,domingo,KENNEDY,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,miércoles,SAN CRISTÓBAL,Choque,Vehículo,SI,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,jueves,USAQUÉN,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,domingo,LOS MÁRTIRES,Choque,Vehículo,,,,,SI,,,,,,SI,,SI,,,SI,,,,,,
Solo Daños,jueves,USAQUÉN,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,,
Con Heridos,sábado,BARRIOS UNIDOS,Atropello,,,,,,,,SI,,,,,,,,,,,,,,,
Con Heridos,lunes,FONTIBÓN,Caida de ocupante,,,,,,SI,,,,,,SI,,,,,,,,,,,
Solo Daños,viernes,BARRIOS UNIDOS,Choque,Vehículo,,,,,,,,SI,,SI,,,,,,,,,,,,SI
Solo Daños,martes,PUENTE ARANDA,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,martes,TUNJUELITO,Choque,Vehículo,,SI,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,viernes,KENNEDY,Choque,Vehículo,SI,,,,,,,,,,SI,,SI,,,SI,,,,,,
Solo Daños,domingo,USAQUÉN,Choque,Vehículo,,,,,,,,SI,,,,,,,,,,,,,,
Con Heridos,lunes,LOS MÁRTIRES,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
